Zone,District,AC No,AC Name,Current MLA,Party,Margin_2019,GE2024 Status,Margin_2024
Northern Maharashtra,Jalgaon,14,Jalgaon Rural,Gulabrao Raghunath Patil,SHS,"64,718",Won,"63,140"
Northern Maharashtra,Jalgaon,16,Erandol,Chimanrao Rupchand Patil,SHS,"73,304",Won,"22,085"
Northern Maharashtra,Jalgaon,18,Pachora,Kishor Appa Patil,SHS,"75,113",Won,"16,566"
Northern Maharashtra,Jalgaon,20,Muktainagar,Chandrakant Nimba Patil,IND,"59,856",Won,"46,929"
Northern Maharashtra,Nashik,113,Nandgaon,Suhas Dwarkanath Kande,SHS,"74,911",Won,"41,665"
Northern Maharashtra,Nashik,115,Malegaon (Outer),Bhuse Dadaji Dagdu,SHS,"94,147",Won,"55,212"
Northern Maharashtra,Nashik,118,Chandwad,Dr. Aher Rahul Daulatrao,BJP,"80,619",Won,"16,747"
Northern Maharashtra,Nashik,121,Niphad,Bankar Diliprao Shankarrao,NCP-AP,"35,744",Lost,"-18,184"
Northern Maharashtra,Nashik,122,Dindori (ST),Zirwal Narhari Sitaram,NCP-AP,-27418,Lost,"-82,308"
Northern Maharashtra,Nashik,126,Deolali (SC),Saroj Babulal Ahire,NCP-AP,"41,933",Lost,"-27,136"
Northern Maharashtra,Nashik,127,Igatpuri (ST),Hiraman Bhika Khoskar,INC,"5,452",Lost,"-43,533"
Northern Maharashtra,Ahilyanagar,220,Shrirampur (SC),Kanade Lahu Natha,INC,"21,458",Won,"11,585"
Northern Maharashtra,Ahilyanagar,221,Nevasa,Shankarrao Yashwantrao Gadakh,KTSTP,"19,734",Won,"3,128"
Thane + Palghar,Palghar,128,Dahanu (ST),Nikole Vinod Bhiva,CPIM,-8147,Lost,-882
Thane + Palghar,Palghar,130,Palghar (ST),Shrinivas Chintaman Vanga,SHS,"60,101",Won,"29,239"
Thane + Palghar,Palghar,131,Boisar (ST),Rajesh Raghunath Patil,BVA,"28,172",Won,"39,148"
Thane + Palghar,Thane,134,Bhiwandi Rural (ST),Shantaram Tukaram More,SHS,"57,892",Won,"8,072"
Thane + Palghar,Thane,135,Shahapur (ST),Daulat Bhika Daroda,NCP-AP,"14,387",Lost,"-31,168"
Thane + Palghar,Thane,137,Bhiwandi East,Rais Kasam Shaikh,SP,-23807,Lost,"-62,741"
Thane + Palghar,Thane,138,Kalyan West,Vishwanath Atmaram Bhoir,SHS,"68,055",Won,"31,236"
Thane + Palghar,Thane,140,Ambarnath (SC),Dr. Kinikar Balaji Pralhad,SHS,"57,667",Won,"35,642"
